user_id,item_id,age_bucket,category,clicked,user_idx,item_idx,cat_idx
396,247,25-34,tech,0,368,160,1
300,192,18-24,sports,0,317,113,2
78,52,35-44,sports,0,162,1,2
184,286,35-44,news,0,240,235,0
38,11,18-24,sports,0,332,232,2
124,75,35-44,tech,0,99,92,1
360,109,18-24,news,0,256,87,0
460,286,18-24,tech,0,401,235,1
477,181,18-24,movies,0,369,43,3
156,160,35-44,tech,0,250,59,1
457,2,25-34,movies,0,108,288,3
462,146,18-24,news,0,91,100,0
162,269,18-24,sports,0,337,268,2
428,132,35-44,tech,0,396,246,1
373,82,35-44,sports,0,8,31,2
309,254,18-24,tech,0,393,185,1
276,139,35-44,movies,0,49,291,3
185,27,18-24,tech,0,494,44,1
215,24,25-34,news,0,126,299,0
216,122,35-44,news,0,25,142,0
107,109,35-44,movies,0,68,87,3
164,287,25-34,movies,0,249,21,3
32,275,25-34,sports,0,445,119,2
84,225,25-34,sports,0,51,152,2
346,68,25-34,news,0,285,64,0
275,242,18-24,sports,0,307,234,2
128,117,35-44,movies,0,69,39,3
414,240,18-24,news,0,224,108,0
205,71,25-34,tech,0,18,168,1
275,201,35-44,sports,0,307,220,2
473,212,25-34,news,0,79,145,0
176,65,35-44,sports,0,263,104,2
432,138,35-44,news,0,489,16,0
103,83,18-24,sports,0,243,223,2
267,96,25-34,tech,0,365,148,1
290,265,25-34,sports,0,19,94,2
250,110,25-34,news,0,32,6,0
481,190,35-44,movies,0,191,166,3
221,123,35-44,tech,0,375,244,1
235,168,25-34,news,0,178,76,0
266,284,35-44,news,0,106,52,0
301,194,25-34,tech,0,384,50,1
448,134,35-44,sports,0,29,29,2
288,51,18-24,sports,0,62,12,2
59,213,25-34,movies,0,193,186,3
195,206,18-24,sports,0,436,57,2
11,252,35-44,movies,0,437,270,3
19,262,25-34,sports,0,380,277,2
418,220,18-24,movies,1,468,205,3
26,70,35-44,movies,0,145,184,3
85,28,18-24,sports,0,366,17,2
182,72,25-34,movies,0,480,272,3
34,247,25-34,movies,0,446,160,3
55,118,18-24,news,0,207,281,0
235,182,18-24,sports,0,178,289,2
371,162,18-24,tech,0,282,225,1
202,124,18-24,tech,0,190,114,1
194,230,25-34,news,0,16,132,0
335,244,25-34,movies,0,196,231,3
60,147,25-34,movies,0,146,141,3
451,207,25-34,movies,0,376,103,3
350,292,35-44,news,0,242,190,0
411,260,25-34,news,0,288,23,0
84,241,25-34,tech,0,51,198,1
70,260,25-34,tech,0,23,23,1
333,120,25-34,movies,0,120,171,3
236,297,35-44,sports,0,47,285,2
64,108,25-34,tech,0,143,252,1
130,18,35-44,news,0,315,262,0
496,20,25-34,tech,0,83,110,1
258,166,25-34,movies,0,276,187,3
113,102,25-34,news,0,81,75,0
351,25,35-44,movies,0,184,54,3
21,223,18-24,movies,0,215,81,3
274,216,35-44,news,0,46,36,0
98,214,35-44,news,0,90,263,0
317,125,35-44,news,0,192,267,0
423,30,25-34,movies,0,477,217,3
316,25,18-24,tech,0,10,54,1
40,237,18-24,sports,0,177,167,2
37,289,18-24,sports,0,222,173,2
173,159,35-44,movies,0,483,112,3
128,153,35-44,sports,0,69,60,2
307,110,25-34,sports,0,125,6,2
206,293,35-44,movies,0,157,181,3
250,110,35-44,movies,0,32,6,3
341,49,18-24,news,0,102,274,0
485,203,35-44,news,0,364,165,0
443,280,25-34,movies,0,12,297,3
145,155,25-34,movies,0,360,136,3
445,187,25-34,tech,0,167,163,1
81,207,35-44,news,0,302,103,0
486,94,18-24,sports,0,139,126,2
31,46,18-24,sports,0,411,138,2
140,31,35-44,sports,0,208,178,2
243,6,18-24,movies,0,97,280,3
234,56,18-24,news,0,353,24,0
133,80,35-44,tech,0,399,28,1
410,81,18-24,sports,0,233,208,2
127,52,25-34,movies,0,76,1,3
193,292,25-34,news,0,9,190,0
9,2,25-34,tech,1,235,288,1
342,6,35-44,sports,0,116,280,2
133,184,35-44,news,0,399,241,0
3,133,25-34,sports,0,214,78,2
227,120,25-34,tech,0,198,171,1
116,132,25-34,movies,0,417,246,3
361,199,25-34,news,0,169,284,0
245,125,25-34,news,0,343,267,0
349,21,18-24,news,0,306,215,0
232,91,25-34,news,0,137,283,0
372,4,18-24,tech,0,45,237,1
147,110,25-34,tech,0,155,6,1
127,34,25-34,news,0,76,180,0
139,163,35-44,tech,0,115,211,1
217,88,35-44,movies,0,181,210,3
46,26,25-34,movies,0,234,67,3
57,173,35-44,sports,0,299,45,2
317,287,25-34,sports,0,192,21,2
313,194,25-34,sports,0,434,50,2
276,157,25-34,movies,0,49,33,3
332,275,18-24,news,0,435,119,0
81,113,25-34,movies,1,302,197,3
260,69,18-24,news,0,164,106,0
480,50,18-24,tech,0,456,134,1
17,231,18-24,sports,0,441,265,2
433,171,18-24,sports,0,316,89,2
220,276,25-34,news,0,44,41,0
474,248,35-44,sports,0,159,99,2
320,271,18-24,movies,0,174,55,3
79,260,35-44,movies,0,6,23,3
12,105,25-34,sports,0,346,250,2
84,218,25-34,news,0,51,296,0
9,241,35-44,tech,0,235,198,1
383,149,18-24,movies,0,77,135,3
451,183,25-34,tech,0,376,7,1
335,55,18-24,news,0,196,74,0
143,90,25-34,tech,0,197,72,1
434,84,35-44,sports,0,419,195,2
256,276,25-34,movies,0,150,41,3
467,281,35-44,sports,0,462,35,2
61,262,35-44,tech,0,413,277,1
285,270,35-44,movies,0,426,26,3
444,261,18-24,tech,0,394,248,1
162,56,25-34,tech,0,337,24,1
198,167,25-34,movies,0,255,107,3
391,122,25-34,movies,0,112,142,3
131,5,35-44,movies,0,188,260,3
218,77,25-34,sports,0,72,293,2
426,13,25-34,sports,0,92,3,2
123,42,35-44,tech,0,334,255,1
21,61,35-44,tech,0,215,115,1
113,191,18-24,news,0,81,37,0
414,38,18-24,news,0,224,164,0
191,130,35-44,tech,0,382,158,1
373,235,35-44,tech,0,8,8,1
111,181,18-24,sports,0,449,43,2
163,271,25-34,tech,0,280,55,1
101,252,18-24,sports,0,279,270,2
470,275,25-34,movies,0,117,119,3
202,191,25-34,news,0,190,37,0
78,292,18-24,tech,0,162,190,1
339,266,25-34,sports,0,96,177,2
39,110,35-44,tech,0,107,6,1
250,284,18-24,movies,0,32,52,3
100,107,18-24,sports,0,322,243,2
153,128,35-44,tech,0,281,159,1
198,4,25-34,news,0,255,237,0
53,116,35-44,news,0,66,11,0
280,201,18-24,sports,0,104,220,2
388,249,25-34,tech,0,407,155,1
200,99,25-34,tech,0,345,91,1
135,47,25-34,news,0,204,242,0
254,98,35-44,sports,0,321,125,2
410,111,18-24,tech,0,233,53,1
194,19,25-34,tech,0,16,275,1
239,173,35-44,sports,0,26,45,2
212,82,25-34,sports,0,187,31,2
142,293,18-24,movies,0,5,181,3
189,292,25-34,tech,0,427,190,1
43,229,18-24,tech,0,484,46,1
3,199,18-24,tech,0,214,284,1
104,19,18-24,movies,0,60,275,3
226,109,35-44,movies,0,94,87,3
433,134,35-44,tech,0,316,29,1
99,95,18-24,news,0,220,56,0
322,10,25-34,sports,0,457,172,2
412,52,18-24,tech,0,362,1,1
129,181,25-34,movies,0,241,43,3
155,47,18-24,tech,0,267,242,1
155,124,25-34,news,0,267,114,0
315,231,25-34,movies,0,292,265,3
100,260,18-24,movies,0,322,23,3
111,15,18-24,news,0,449,2,0
436,235,25-34,sports,0,56,8,2
393,127,25-34,movies,0,305,47,3
52,196,35-44,news,0,373,189,0
187,211,35-44,news,0,275,292,0
229,162,18-24,tech,0,470,225,1
