user_id,item_id,age_bucket,category,clicked
327,57,18-24,news,0
71,52,35-44,tech,0
16,15,18-24,sports,0
308,13,35-44,sports,0
359,279,25-34,sports,0
142,3,18-24,movies,0
79,110,25-34,tech,0
49,183,25-34,news,0
373,235,35-44,tech,0
193,40,35-44,news,0
316,185,35-44,sports,0
23,116,25-34,tech,0
443,51,25-34,news,0
427,186,18-24,news,0
343,136,35-44,tech,0
87,273,35-44,sports,0
194,138,35-44,sports,0
431,28,18-24,tech,0
205,137,18-24,sports,0
290,161,18-24,movies,0
468,234,18-24,news,0
381,287,35-44,news,0
219,298,25-34,news,0
70,260,25-34,tech,0
440,56,18-24,sports,0
216,32,25-34,movies,0
239,270,25-34,tech,0
58,274,25-34,news,0
222,80,25-34,tech,0
448,134,35-44,sports,0
54,152,35-44,sports,0
390,82,35-44,tech,0
250,9,18-24,news,0
425,157,18-24,tech,0
290,40,18-24,movies,0
389,272,18-24,sports,0
484,281,18-24,news,0
310,216,18-24,sports,0
204,191,25-34,movies,0
115,32,25-34,tech,0
117,112,18-24,tech,0
30,117,18-24,tech,0
36,263,18-24,news,0
109,276,18-24,movies,0
242,208,18-24,tech,0
220,181,25-34,movies,0
373,27,35-44,tech,0
372,173,18-24,sports,0
274,229,18-24,movies,0
236,127,18-24,movies,0
438,281,18-24,tech,0
276,7,18-24,sports,0
248,246,18-24,movies,0
84,194,18-24,movies,0
401,232,25-34,movies,0
374,284,35-44,movies,0
151,111,18-24,tech,0
29,25,35-44,movies,0
436,271,18-24,tech,0
41,95,18-24,tech,0
120,206,18-24,sports,0
20,41,25-34,news,0
104,160,18-24,news,0
343,153,25-34,news,0
479,37,18-24,movies,0
288,51,18-24,sports,0
67,178,18-24,sports,0
80,224,35-44,news,0
413,270,18-24,news,0
53,68,25-34,tech,0
380,283,18-24,news,0
107,175,18-24,news,0
128,26,18-24,movies,0
22,1,25-34,sports,0
134,82,35-44,movies,0
218,287,18-24,tech,0
452,76,35-44,tech,0
298,282,18-24,movies,0
157,186,18-24,news,0
127,52,25-34,movies,0
383,79,18-24,sports,0
415,90,25-34,tech,0
473,170,25-34,sports,0
403,55,25-34,tech,0
113,102,25-34,news,0
407,116,18-24,tech,0
204,168,25-34,tech,0
142,179,35-44,movies,0
431,274,25-34,tech,0
496,133,18-24,news,0
305,222,25-34,news,0
261,59,25-34,sports,0
362,223,18-24,sports,0
35,169,35-44,news,0
63,153,35-44,news,0
167,206,35-44,news,0
98,215,35-44,movies,0
462,89,35-44,news,0
426,0,25-34,news,0
402,296,35-44,news,0
226,109,35-44,movies,0
491,86,35-44,tech,0
339,171,18-24,sports,0
115,101,18-24,tech,0
243,37,25-34,movies,0
294,99,35-44,movies,0
124,75,35-44,tech,0
440,54,25-34,sports,0
490,265,25-34,tech,0
469,62,25-34,sports,0
341,271,35-44,news,0
456,226,35-44,movies,0
280,228,18-24,movies,0
384,126,35-44,news,0
266,248,35-44,sports,0
39,146,18-24,news,0
457,276,18-24,sports,0
196,78,35-44,sports,0
208,169,35-44,movies,0
105,215,25-34,tech,0
391,294,25-34,movies,1
180,152,25-34,movies,0
376,279,35-44,sports,0
139,223,25-34,tech,0
342,207,35-44,sports,0
470,65,35-44,tech,0
303,288,35-44,tech,0
219,69,25-34,sports,0
194,167,18-24,movies,0
389,194,25-34,movies,0
41,240,18-24,tech,0
179,114,35-44,tech,0
333,20,18-24,sports,0
10,78,18-24,sports,0
58,288,18-24,movies,0
392,188,18-24,tech,0
83,159,18-24,tech,0
294,192,25-34,sports,0
353,124,18-24,news,0
307,61,35-44,tech,0
219,189,18-24,news,1
215,250,18-24,movies,0
325,235,35-44,sports,0
375,267,35-44,news,0
470,275,25-34,movies,0
374,137,25-34,sports,0
44,142,25-34,sports,0
291,194,25-34,tech,0
166,93,25-34,sports,0
132,174,25-34,news,0
264,97,18-24,sports,0
250,284,18-24,movies,0
251,229,18-24,tech,0
207,124,25-34,news,0
271,176,25-34,news,0
232,138,25-34,news,0
369,98,25-34,tech,0
486,94,18-24,sports,0
141,268,35-44,news,0
426,99,25-34,sports,0
154,7,35-44,sports,0
498,27,35-44,news,0
64,251,18-24,tech,0
240,245,25-34,news,0
26,129,25-34,tech,0
205,251,18-24,tech,0
415,288,25-34,tech,0
60,285,25-34,sports,0
194,230,25-34,news,0
219,156,35-44,tech,0
378,50,18-24,sports,0
41,80,18-24,sports,0
80,1,25-34,movies,0
240,149,18-24,sports,0
144,232,18-24,sports,0
